esc;região;nbnhisp;hispânico;gênero;civil;exp;sind;salhora;;esc = escolaridade em anos
10;0;0;0;0;1;27;0;9;;região = 1 se Sul, 0 caso contrário
12;0;0;0;0;1;20;0;5,5;;nbnhisp = 1 se não branco, não hispânico, 0 caso contrário
12;0;0;0;1;0;4;0;3,799999952;;hispânico = 1 se hispânico
12;0;0;0;1;1;29;0;10,5;;gênero = 1 se feminino, 0 se homem
12;0;0;0;0;1;40;1;15;;civil = 1 se casdo, 0 caso contrário
16;0;0;0;1;1;27;0;9;;exp = experiência em anos
12;0;0;0;1;1;5;1;9,569999695;;sind = 1 se sindicalizado,0 caso contrário
14;0;0;0;0;0;22;0;15;;salhora = salário por hora, e dólares
8;0;0;0;0;1;42;0;11;;
12;0;0;0;1;1;14;0;5;;
17;0;0;1;0;1;18;0;24,97999954;;
17;0;0;0;0;0;3;0;20,39999962;;
14;0;0;1;0;0;4;1;25;;
14;0;0;0;0;0;14;0;13,97999954;;
12;0;0;0;0;1;35;0;3,5;;
14;0;0;1;0;0;0;0;5;;
16;0;0;1;0;1;7;1;10;;
16;0;1;0;0;1;26;1;15;;
13;0;1;0;0;0;3;0;5,829999924;;
13;0;0;1;0;0;16;0;9,100000381;;
17;0;1;0;1;1;32;0;11,25;;
12;0;1;0;0;1;25;1;13;;
14;0;0;0;1;0;15;1;8;;
12;0;0;0;1;1;38;0;4,28000021;;
16;0;1;0;0;1;17;0;7,880000114;;
12;0;0;0;1;0;7;0;6,940000057;;
17;0;0;0;1;0;5;0;24,97999954;;
14;0;0;0;0;1;22;0;10;;
14;0;0;0;0;1;21;0;13,75;;
13;0;0;1;1;1;2;0;5,619999886;;
14;0;1;0;0;1;16;0;14,67000008;;
16;0;0;0;0;1;18;0;24,97999954;;
12;0;0;0;0;1;14;0;12;;
18;0;0;0;0;1;12;0;15;;
16;0;0;0;0;0;3;0;5,769999981;;
17;0;0;0;1;1;13;0;12,64999962;;
16;0;0;0;1;0;42;0;11,71000004;;
12;0;0;0;0;1;8;0;13;;
15;0;0;0;1;1;6;0;12,5;;
16;0;0;0;0;1;22;0;22,5;;
16;0;1;0;1;0;3;0;11,25;;
16;0;0;0;0;1;33;0;15,38000011;;
13;0;0;0;1;0;8;1;7,699999809;;
12;0;0;0;0;1;26;0;11,84000015;;
14;0;0;0;0;1;0;0;5;;
12;0;0;0;0;1;28;0;6,5;;
8;0;0;0;0;1;33;1;9;;
12;0;0;0;0;0;0;0;3,349999905;;
12;0;0;0;1;1;7;0;4,5;;
14;0;0;0;1;1;12;0;10,52999973;;
9;0;0;0;0;1;47;1;3,5;;
16;0;0;0;0;1;12;0;15;;
12;0;0;0;1;0;25;0;8,5;;
12;0;0;0;1;1;44;0;9,170000076;;
9;0;0;0;0;0;33;1;9,600000381;;
8;0;0;1;1;1;22;0;6,880000114;;
18;0;0;0;1;1;14;0;13,94999981;;
14;0;1;0;0;0;22;0;10;;
12;0;0;0;1;0;41;0;3,75;;
12;0;0;0;1;0;8;0;8;;
12;0;0;0;1;1;43;0;11,67000008;;
8;0;1;0;1;0;29;0;8,890000343;;
12;0;1;0;0;0;6;1;4;;
12;0;1;0;1;0;21;0;5,5;;
16;0;1;0;0;0;3;0;3,349999905;;
12;0;0;0;1;1;40;0;10,81000042;;
12;0;0;0;0;1;5;0;7;;
13;0;0;0;0;1;34;1;10;;
16;0;0;0;1;1;10;0;5,400000095;;
12;0;0;0;1;0;10;0;7,5;;
12;0;0;0;0;1;41;1;11,25;;
10;0;0;0;1;1;25;1;10;;
13;0;0;0;0;0;0;0;4;;
18;0;0;0;0;1;14;1;13,51000023;;
12;0;0;0;0;0;22;0;6,75;;
14;0;0;0;1;1;32;0;14,28999996;;
15;0;0;0;1;1;9;0;9,75;;
12;0;0;0;1;0;0;0;3,349999905;;
8;0;0;0;1;0;49;0;3,400000095;;
14;0;0;0;1;1;32;0;5,619999886;;
12;0;0;0;0;1;7;1;7;;
16;0;0;0;1;1;10;0;10;;
10;0;0;0;1;0;44;1;6,099999905;;
12;0;0;0;1;1;27;0;4,170000076;;
12;0;0;0;1;1;16;0;4,800000191;;
12;0;0;0;0;1;3;0;5,75;;
12;0;0;0;0;1;8;0;4,75;;
17;0;0;0;0;1;7;1;9,369999886;;
12;0;0;0;1;0;8;0;5,25;;
9;0;0;0;1;1;42;0;4,949999809;;
16;0;0;0;1;1;11;0;19,37999916;;
12;0;0;0;0;1;23;0;19,97999954;;
12;0;0;0;0;0;4;0;4;;
12;0;0;0;1;0;0;0;5;;
14;0;0;0;0;1;25;0;10,57999992;;
12;0;1;0;0;0;22;1;10;;
14;0;0;1;1;0;15;0;7,380000114;;
15;0;0;0;0;0;10;0;12,5;;
16;0;0;0;1;0;20;0;4;;
12;0;0;0;1;1;24;0;15,02999973;;
12;1;0;0;0;1;12;0;16;;
12;1;0;1;1;0;12;0;3,559999943;;
12;1;0;1;0;0;16;0;4,5;;
12;1;0;1;1;0;4;0;4,550000191;;
12;1;0;1;1;1;43;0;3,599999905;;
12;1;0;0;1;1;14;0;8;;
12;1;0;0;1;0;10;0;4,75;;
12;1;0;0;0;1;2;0;6,730000019;;
12;1;0;0;0;1;28;0;11,10999966;;
7;1;0;0;1;1;15;0;6;;
12;1;0;0;0;1;20;0;10;;
12;1;0;1;1;1;30;0;11,25;;
12;1;0;0;1;1;9;0;3,950000048;;
16;1;1;0;0;1;13;0;17,5;;
13;1;0;0;1;0;1;0;3,549999952;;
16;1;0;0;0;0;8;0;6;;
14;1;0;0;0;1;15;0;22;;
12;1;0;0;1;0;6;0;6,25;;
7;1;0;1;0;1;14;0;4,5;;
13;1;0;0;1;0;28;0;10,31999969;;
14;1;0;0;0;1;10;0;12,19999981;;
17;1;0;0;0;0;14;0;18,15999985;;
16;1;0;0;0;1;10;0;15;;
13;1;0;0;1;1;10;0;8,75;;
14;1;0;0;0;1;44;0;19,97999954;;
16;0;0;0;1;0;10;1;6,670000076;;
14;0;0;0;0;1;22;1;9,630000114;;
11;0;0;0;0;1;18;1;5,5;;
12;0;0;0;1;0;9;0;8;;
18;0;0;0;1;1;19;0;20;;
17;0;0;0;1;1;14;0;9,5;;
16;0;0;0;1;0;6;1;11,78999996;;
16;0;0;0;1;0;17;0;13,89000034;;
11;0;0;0;1;1;24;0;5,5;;
11;0;0;0;1;0;12;0;7;;
12;0;0;0;1;1;38;0;9,649999619;;
15;0;0;0;1;0;33;0;10,60999966;;
14;0;0;0;1;1;10;0;12;;
14;0;0;0;1;1;14;0;8,56000042;;
14;0;0;0;0;0;16;0;16,13999939;;
11;0;0;0;0;0;11;0;3,75;;
16;0;1;0;1;1;6;0;9;;
12;0;1;0;1;1;33;0;13,11999989;;
16;0;0;0;0;0;10;0;13,19999981;;
12;0;0;0;0;0;19;0;9,25;;
12;0;0;1;0;0;4;0;5;;
17;0;0;0;1;0;3;1;6;;
12;0;0;0;1;1;32;0;7;;
8;0;0;0;0;1;19;0;4,699999809;;
16;0;0;0;1;1;22;0;7,5;;
18;0;0;0;0;1;33;0;7;;
18;0;0;0;0;1;19;0;11,22000027;;
